,name,album,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,length,popularity,country,gender,continent
44,Safaera,YHLQMDLG,Bad Bunny,0.607,0.8290000000000001,2,-4.074,1,0.379,0.0103,0.0,,0.685,,295177,4,2020-02-28,295176,87,Puerto Rico,male,North_America
45,No Drama,No Drama,Becky G,0.708,0.815,5,-4.164,0,0.0692,0.166,0.0,,0.855,,204828,4,2020-10-29,204827,79,USA,female,North_America
46,Del Mar,ENOC,Ozuna,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,,0.536,,214507,4,2020-09-04,214506,86,Puerto Rico,male,North_America
47,Una Locura,ENOC,Ozuna,0.7140000000000001,0.7609999999999999,5,-4.596,0,0.0427,0.139,0.00035,,0.906,,230693,4,2020-09-04,230693,92,Puerto Rico,male,North_America
48,La Oficial - Remix,La Oficial (Remix),Andy Rivera,0.846,0.75,6,-3.666,1,0.21600000000000005,0.188,0.0,,0.742,,219648,4,2020-08-07,219648,74,Colombia,male,South_America
49,La Despedida - Live,"2K20, Pt. 1 (Live)",Daddy Yankee,0.767,0.957,9,-8.037,0,0.0854,0.446,0.0,,0.721,,199575,4,2020-12-04,199575,48,Puerto Rico,male,North_America
50,Si Me Dices Que Sí (feat. Camilo) - R3HAB Remix,Si Me Dices Que Sí (feat. Camilo) [R3HAB Remix],Reik,0.745,0.7140000000000001,11,-6.143,1,0.119,0.0267,0.0,,0.55,,186117,4,2020-04-07,186116,66,Mexico,male,North_America
51,El Efecto - Remix,El Efecto (Remix),Rauw Alejandro,0.7709999999999999,0.769,0,-3.504,0,0.0694,0.18,1.57e-05,,0.931,,289899,4,2019-12-13,289898,83,Puerto Rico,male,North_America
52,Sigues Con El - Remix,Los Favoritos 2,Arcangel,0.755,0.6940000000000001,1,-2.97,0,0.28800000000000003,0.1,2.51e-06,,0.738,,189567,4,2020-10-16,189566,67,USA,male,North_America
53,Lo Que Pasó Pasó - Live,"2K20, Pt. 1 (Live)",Daddy Yankee,0.748,0.78,11,-9.769,1,0.0582,0.455,0.0,,0.847,,209934,4,2020-12-04,209934,62,Puerto Rico,male,North_America
54,Loco - Remix,Loco (Remix),Various Artists,0.908,0.529,6,-7.032,1,0.135,0.157,0.00014199999999999998,,0.743,,248500,4,2020-04-24,248499,75,Various,mixed,Unknown
55,Limbo - Live,"2K20, Pt. 3 (Live)",Daddy Yankee,0.7440000000000001,0.816,7,-7.434,1,0.0465,0.309,0.0,,0.77,,252037,4,2020-12-25,252036,43,Puerto Rico,male,North_America
56,Carita de Inocente (feat. Myke Towers) - Remix,Carita de Inocente (feat. Myke Towers) [Remix],Prince Royce,0.565,0.7809999999999999,10,-3.358,0,0.061,0.364,0.0,,0.943,,192698,4,2020-06-01,192698,79,USA,male,North_America
57,Se Te Nota (with Guaynaa),Se Te Nota (with Guaynaa),Lele Pons,0.905,0.6859999999999999,0,-3.152,1,0.0664,0.0907,0.0,,0.963,,155825,4,2020-09-02,155825,92,Venezuela,female,South_America
58,4 besos,4 besos,Lola Indigo,0.865,0.6579999999999999,1,-3.035,0,0.08,0.21600000000000005,4.72e-06,,0.713,,232526,4,2020-03-27,232526,72,Spain,female,Europe
59,Tiburones - Remix,Tiburones (Remix),Ricky Martin,0.755,0.835,0,-2.474,1,0.172,0.0814,0.0,,0.5820000000000001,,209373,4,2020-04-10,209373,67,Puerto Rico,male,North_America
60,Contando Lunares (feat. Anitta & Rauw Alejandro) - Remix,Contando Lunares (feat. Anitta & Rauw Alejandro) [Remix],Don Patricio,0.87,0.472,4,-7.596,0,0.0456,0.501,0.0,,0.698,,270533,4,2020-02-06,270532,62,Spain,male,Europe
61,Honey Boo,Honey Boo,CNCO,0.8029999999999999,0.642,0,-3.759,1,0.217,0.153,1.76e-06,,0.856,,206987,4,2020-04-03,206986,71,USA,male,North_America
62,La Jeepeta - Remix,Now Or Never,Nio Garcia,0.8140000000000001,0.7140000000000001,4,-4.65,0,0.207,0.297,4.89e-06,,0.789,,345241,4,2020-07-24,345240,82,Puerto Rico,male,North_America
63,Diosa - Remix,Diosa (Remix),Myke Towers,0.764,0.8220000000000001,6,-3.259,0,0.0489,0.279,8.44e-05,,0.224,,259242,4,2020-10-28,259242,77,Puerto Rico,male,North_America
64,Ella Me Levantó - Live,"2K20, Pt. 1 (Live)",Daddy Yankee,0.711,0.841,5,-7.273,1,0.125,0.33,0.0,,0.633,,269685,4,2020-12-04,269684,48,Puerto Rico,male,North_America
